Iteration, FED
471, -109.37203108444174
472, -109.3720418099311
473, -109.37205249196982
474, -109.37206313084123
475, -109.37207372682754
476, -109.37208428020644
477, -109.37209479125583
478, -109.37210526024872
479, -109.37211568745636
480, -109.37212607314972
481, -109.37213641759504
482, -109.37214672105733
483, -109.3721569838005
484, -109.37216720608433
485, -109.37217738816787
486, -109.37218753030614
487, -109.37219763275469
488, -109.37220769576537
489, -109.3722177195886
490, -109.37222770447165
491, -109.3722376506612
492, -109.3722475584009
493, -109.37225742793194
494, -109.37226725949607
495, -109.37227705333027
496, -109.37228680967088
497, -109.37229652875207
498, -109.37230621080641
499, -109.37231585606415
500, -109.37232546475444
501, -109.37233503710301
502, -109.3723445733353
503, -109.37235407367497
504, -109.37236353834291
505, -109.37237296755893
506, -109.37238236154124
507, -109.37239172050455
508, -109.372401044665
509, -109.37241033423454
510, -109.3724195894242
511, -109.37242881044335
512, -109.37243799750073
513, -109.37244715080082
514, -109.37245627054857
515, -109.37246535694771
516, -109.37247441019919
517, -109.37248343050216
518, -109.37249241805654
519, -109.37250137305574
520, -109.3725102956981
521, -109.37251918617613
522, -109.37252804468173
523, -109.37253687140584
524, -109.37254566653738
525, -109.3725544302637
526, -109.37256316277231
527, -109.37257186424713
528, -109.37258053487164
529, -109.37258917482893
530, -109.37259778429714
531, -109.37260636345961
532, -109.37261491249029
533, -109.37262343156831
534, -109.37263192086739
535, -109.37264038056308
536, -109.3726488108261
537, -109.3726572118298
538, -109.37266558374264
539, -109.37267392673462
540, -109.37268224097238
541, -109.37269052662236
542, -109.37269878384983
543, -109.3727070128183
544, -109.37271521369055
545, -109.37272338662831
546, -109.37273153179159
547, -109.37273964933927
548, -109.37274773942939
549, -109.37275580221785
550, -109.37276383786057
551, -109.37277184651293
552, -109.37277982832681
553, -109.37278778345618
554, -109.37279571205028
555, -109.37280361425954
556, -109.37281149023325
557, -109.37281934011821
558, -109.37282716406192
559, -109.37283496220977
560, -109.37284273470749
561, -109.3728504816969
562, -109.37285820332077
563, -109.37286589972219
564, -109.3728735710404
565, -109.37288121741439
566, -109.37288883898364
567, -109.37289643588504
568, -109.37290400825556
569, -109.37291155623068
570, -109.37291907994414
571, -109.37292657953121
572, -109.37293405512311
573, -109.37294150685265
574, -109.37294893484957
575, -109.37295633924525
576, -109.3729637201669
577, -109.3729710777439
578, -109.37297841210315
579, -109.37298572337083
580, -109.37299301167285
581, -109.37300027713218
582, -109.37300751987468
583, -109.37301474002159
