Distance, Potential, E-field Magnitude
69.29646455628166, 1.135154940571949e-06, 1.6059026004097959e-06
68.59300255857006, 2.2710892199468796e-06, 2.5403567995576403e-06
67.89698078707183, 3.408539985271513e-06, 3.59481546564822e-06
67.20863039818622, 4.548288477220984e-06, 4.690819795024683e-06
66.52818951391959, 5.690989353378145e-06, 5.806976850007462e-06
65.85590330410783, 6.837384930940142e-06, 6.935652552335288e-06
65.19202405202648, 7.988006551690789e-06, 8.073852806451702e-06
64.53681120105021, 9.1435157774848e-06, 9.220131140427087e-06
63.89053137985315, 1.0304278880063407e-05, 1.0374022946452915e-05
63.25345840347388, 1.14708335279285e-05, 1.1535147437150517e-05
62.625873247404705, 1.2643338062071916e-05, 1.2703550603154584e-05
62.00806399170998, 1.3822161788333396e-05, 1.38789936412586e-05
61.40032573203501, 1.5007211298227752e-05, 1.5061554264619177e-05
60.802960454241045, 1.61986420914396e-05, 1.6250860205037008e-05
60.21627686929839, 1.7396064817677668e-05, 1.7446844109834157e-05
59.64059020499378, 1.8599375601088808e-05, 1.864887791118439e-05
59.07622195096772, 1.980784571073171e-05, 1.9856655302402163e-05
58.52349955359813, 2.1021067641027725e-05, 2.106921842386314e-05
57.982756057296896, 2.2237932357741492e-05, 2.2285958149172668e-05
57.4543296888929, 2.3457687900262045e-05, 2.3505533581433506e-05
56.938563381947034, 2.4678808984369887e-05, 2.472698451528974e-05
56.43580423808985, 2.590016462112402e-05, 2.5948547346963783e-05
55.94640292279746, 2.7119785467860132e-05, 2.7168875211368827e-05
55.47071299343465, 2.833613668522766e-05, 2.8385755356013672e-05
55.00909015790027, 2.9546788986775935e-05, 2.9597432677062884e-05
54.56189146281496, 3.074979265285991e-05, 3.0801234463436654e-05
54.12947441089743, 3.194225870248103e-05, 3.199499293087204e-05
53.71219600798314, 3.3121829616424275e-05, 3.317558380365839e-05
53.31041174104736, 3.4285177403505475e-05, 3.434044312406135e-05
52.92447448959697, 3.542956611866244e-05, 3.548602647864165e-05
52.55473337388365, 3.6551273780513305e-05, 3.6609414872977655e-05
52.20153254455275, 3.7647241170307805e-05, 3.77067015340715e-05
51.86520991955976, 3.8713424548287415e-05, 3.877468098525032e-05
51.54609587543949, 3.974652446683584e-05, 3.9809170260510346e-05
51.24451190127583, 4.0742276018074496e-05, 4.080677449335122e-05
50.96076922496363, 4.169725049399744e-05, 4.176314907250354e-05
50.695167422546305, 4.260708949544443e-05, 4.2674834096574787e-05
50.44799302251776, 4.346837126257786e-05, 4.3537463523621104e-05
50.21951811795888, 4.4276794442323254e-05, 4.434765980188684e-05
50.00999900019995, 4.502909987300609e-05, 4.5101195496862656e-05
49.8196748283246, 4.5721209239483655e-05, 4.5794938386900433e-05
49.64876634922564, 4.63501921410921e-05, 4.642497050580795e-05
49.49747468305833, 4.691236438747428e-05, 4.698857312106503e-05
49.36598018878993, 4.740528944549455e-05, 4.7482307744530004e-05
