x, y, Potential, x-field, y-field, z-field
 1, 1, 6.83176049195913e-05, -0.7071067451385723, -0.7071067451385724, 0.00031931030083603203
 1, 2, 0.00013666607924693667, -0.8943474451830629, -0.44737286938317583, 0.00040377517555501485
 1, 3, 0.00020507571858417349, -0.9485716051543379, -0.3165623581928941, 0.00042810077859403993
 1, 4, 0.00027357567036804745, -0.9700182110317899, -0.24303184731531516, 0.00043755821466877993
 1, 5, 0.00034219335847646744, -0.9804515420480852, -0.19676020520279955, 0.00044197747023993583
 1, 6, 0.00041095390647122526, -0.9862636937879095, -0.16517787067630751, 0.00044424618153253843
 1, 7, 0.0004798795593708143, -0.9898203313607734, -0.14232186484747308, 0.0004454337059252418
 1, 8, 0.0005489891041460962, -0.9921512330545658, -0.12504291993842218, 0.00044600625329770013
 1, 9, 0.0006182972895047862, -0.9937607044580913, -0.1115323414389643, 0.00044619289585284816
 1, 10, 0.0006878142459776325, -0.9949186751323236, -0.10068083657046877, 0.0004461170388868963
 1, 11, 0.0007575449078382854, -0.995779995919004, -0.0917714604060373, 0.00044585030188583596
 1, 12, 0.000827488438977757, -0.9964385719127375, -0.08432066170524533, 0.0004454369693953943
 1, 13, 0.0008976376655092655, -0.9969539967432086, -0.07799057915141881, 0.0004449060224795922
 1, 14, 0.000967978518594663, -0.9973655486740942, -0.07253802406710258, 0.0004442774620843389
 1, 15, 0.0010384894917519118, -0.997699958038395, -0.06778345653291225, 0.00044356581890627774
 1, 16, 0.0011091411177140817, -0.9979759208430783, -0.06359139376786083, 0.00044278219313530995
 1, 17, 0.0011798954707509402, -0.9982068266884939, -0.059857629801990865, 0.0004419354869905338
 1, 18, 0.0012507057012179894, -0.99840246438918, -0.05650066009659546, 0.0004410331746543994
 1, 19, 0.0013215156099445334, -0.9985701204725285, -0.05345578385443459, 0.00044008179696655155
 1, 20, 0.0013922592708880553, -0.9987153053559137, -0.05067095864692727, 0.00043908728676307575
 1, 21, 0.00146286071123855, -0.9988422446311167, -0.04810382986754645, 0.0004380551867816362
 1, 22, 0.0015332336588213989, -0.9989542183765863, -0.04571956503146868, 0.00043699079744437437
 1, 23, 0.0016032813671848097, -0.9990537999050424, -0.043489250247794285, 0.00043589927760172027
 1, 24, 0.0016728965291285384, -0.9991430266028257, -0.04138868628416412, 0.0004347857128660375
 1, 25, 0.0017419612895929006, -0.9992235240672617, -0.039397473190600184, 0.0004336551610210283
 1, 26, 0.001810347368737876, -0.9992965975907316, -0.037498306313329066, 0.00043251268075329664
 1, 27, 0.0018779163056588184, -0.9993633004695921, -0.035676429196119824, 0.00043136334794245223
 1, 28, 0.0019445198324672807, -0.9994244856401506, -0.03391920429977296, 0.0004302122623992634
 1, 29, 0.0020100003873768377, -0.9994808451713091, -0.03221577314391457, 0.00042906454709936705
 1, 30, 0.0020741917739454897, -0.9995329408141412, -0.03055678496400691, 0.0004279253413767047
 1, 31, 0.002136919971719437, -0.9995812278989538, -0.028934178301105513, 0.00042679978917396154
 1, 32, 0.0021980041011915538, -0.9996260742387773, -0.027341003774924162, 0.0004256930231868703
 1, 33, 0.0022572575432415884, -0.9996677752537004, -0.025771279082366195, 0.00042461014558686924
 1, 34, 0.002314489210092122, -0.9997065662134506, -0.02421986931946988, 0.00042355620588761675
 1, 35, 0.002369504961343416, -0.9997426322667206, -0.022682387255057168, 0.00042253617646742384
 1, 36, 0.0024221091549120866, -0.999776116758363, -0.021155109335865167, 0.00042155492621136876
 1, 37, 0.0024721063187859646, -0.9998071282117306, -0.019634904078944054, 0.00042061719271947235
 1, 38, 0.002519302925534682, -0.9998357462607164, -0.018119170181256226, 0.0004197275535192195
 1, 39, 0.002563509247615382, -0.9998620267458437, -0.016605782201668393, 0.0004188903967132608
 1, 40, 0.002604541267833344, -0.9998860061350653, -0.015093042085241735, 0.000418109891497503
 1, 41, 0.00264222261601522, -0.9999077053885069, -0.01357963513180356, 0.0004173899589791254
 1, 42, 0.0026763865001872317, -0.9999271333542563, -0.012064589280589271, 0.00041673424373060166
 1, 43, 0.0027068775984753213, -0.9999442897572903, -0.010547236805097133, 0.00041614608649651855
 1, 44, 0.0027335538766972063, -0.999959167824248, -0.00902717769786966, 0.0004156284984703808
 1, 45, 0.0027562882963117806, -0.9999717565718538, -0.007504244181325742, 0.0004151841375360924
 1, 46, 0.002774970378111045, -0.9999820427755698, -0.00597846591329174, 0.00041481528683981494
 1, 47, 0.0027895075888252096, -0.9999900126268425, -0.0044500355680321835, 0.00041452383603595084
 1, 48, 0.0027998265206588486, -0.9999956530816392, -0.0029192745676016128, 0.00041431126550285126
 1, 49, 0.0028058738376322886, -0.9999989528993438, -0.001386598815489203, 0.00041417863378865775
 1, 50, 0.002807616967366478, -0.9999999033691538, 0.00014751565456625227, 0.00041412656848671334
 1, 51, 0.0028050445224744023, -0.9999984987204645, 0.001682567156881327, 0.0004141552606949645
 1, 52, 0.0027981664418212345, -0.9999947362139752, 0.003218062972824787, 0.00041426446314805356
 1, 53, 0.0027870138483720754, -0.9999886159110063, 0.004753554111666998, 0.0004144534920537896
 1, 54, 0.0027716386269241392, -0.9999801401193835, 0.006288670218537936, 0.00041472123259985274
 1, 55, 0.0027521127314770275, -0.9999693125148034, 0.007823154655519818, 0.00041506614804265156
 1, 56, 0.002728527238094201, -0.9999561369364698, 0.009356899819552567, 0.0004154862922216384
 1, 57, 0.0027009911646340445, -0.9999406158545, 0.010889982815608474, 0.00041597932529706687
 1, 58, 0.002669630083493575, -0.9999227485037984, 0.012422701675908056, 0.000416542532447606
 1, 59, 0.002634584557364999, -0.9999025286742573, 0.013955612406602105, 0.0004171728452343312
 1, 60, 0.002596008430853429, -0.9998799421398435, 0.015489567253664356, 0.00041786686527698795
 1, 61, 0.0025540670125907146, -0.9998549636987556, 0.01702575471192865, 0.00041862088987966526
 1, 62, 0.0025089351832013208, -0.9998275537827559, 0.01856574195871689, 0.00041943093919809645
 1, 63, 0.002460795464173153, -0.9997976545751034, 0.02011152058143462, 0.00042029278453330156
 1, 64, 0.002409836081440796, -0.9997651855520986, 0.021665556694256332, 0.00042120197731544196
 1, 65, 0.0023562490554150887, -0.9997300383315748, 0.023230846813041987, 0.00042215387834073444
 1, 66, 0.0023002283464295748, -0.9996920706705583, 0.02481098119446025, 0.0004231436868041413
