Distance, Potential, Field Magnitude
69.29646455628166, 6.83176049195913e-05, 9.663751632022269e-05
68.59300255857006, 0.00013666607924693667, 0.0001528457837118511
67.89698078707183, 0.00020507571858417349, 0.00021624426843207665
67.20863039818622, 0.00027357567036804745, 0.0002820980900383692
66.52818951391959, 0.00034219335847646744, 0.0003491006628133542
65.85590330410783, 0.00041095390647122526, 0.0004167816195069043
65.19202405202648, 0.0004798795593708143, 0.00048494023677529734
64.53681120105021, 0.0005489891041460962, 0.0005534808776144071
63.89053137985315, 0.0006182972895047862, 0.0006223537497753864
63.25345840347388, 0.0006878142459776325, 0.0006915299031908455
62.625873247404705, 0.0007575449078382854, 0.0007609892682438768
62.00806399170998, 0.000827488438977757, 0.0008307142925460779
61.40032573203501, 0.0008976376655092655, 0.0009006862184222554
60.802960454241045, 0.000967978518594663, 0.0009708827063744449
60.21627686929839, 0.0010384894917519118, 0.0010412761928928573
59.64059020499378, 0.0011091411177140817, 0.001111832675937472
59.07622195096772, 0.0011798954707509402, 0.001182510767400945
58.52349955359813, 0.0012507057012179894, 0.0012532609260801069
57.982756057296896, 0.0013215156099445334, 0.0013240248244748437
57.4543296888929, 0.0013922592708880553, 0.0013947348251184886
56.938563381947034, 0.00146286071123855, 0.0014653135552981486
56.43580423808985, 0.0015332336588213989, 0.0015356735770518438
55.94640292279746, 0.0016032813671848097, 0.0016057171543699244
55.47071299343465, 0.0016728965291285384, 0.00167533612272627
55.00909015790027, 0.0017419612895929006, 0.0017444118680450297
54.56189146281496, 0.001810347368737876, 0.001812815423314086
54.12947441089743, 0.0018779163056588184, 0.0018804076914737478
53.71219600798314, 0.0019445198324672807, 0.001947039803037234
53.31041174104736, 0.0020100003873768377, 0.0020125536161888376
52.92447448959697, 0.0020741917739454897, 0.002076782365882058
52.55473337388365, 0.002136919971719437, 0.0021395514667394834
52.20153254455275, 0.0021980041011915538, 0.0022006794723557167
51.86520991955976, 0.0022572575432415884, 0.0022599791909488935
51.54609587543949, 0.002314489210092122, 0.0023172589542337905
51.24451190127583, 0.002369504961343416, 0.0023723240329557942
50.96076922496363, 0.0024221091549120866, 0.0024249781888057665
50.695167422546305, 0.0024721063187859646, 0.002475025348527764
50.44799302251776, 0.002519302925534682, 0.0025222713820517895
50.21951811795888, 0.002563509247615382, 0.002566525962567972
50.00999900019995, 0.002604541267833344, 0.002607604482757164
49.8196748283246, 0.00264222261601522, 0.0026453299980654737
49.64876634922564, 0.0026763865001872317, 0.002679535165118507
49.49747468305833, 0.0027068775984753213, 0.0027100641412709844
49.36598018878993, 0.0027335538766972063, 0.0027367744100196384
49.25444142409901, 0.0027562882963117806, 0.0027595384966885373
49.16299421312742, 0.002774970378111045, 0.002778245539509855
49.09175083453431, 0.0027895075888252096, 0.002792802683012605
49.040799340956916, 0.0027998265206588486, 0.002803136263493876
49.01020301937138, 0.0028058738376322886, 0.0028091927602292193
49.0, 0.002807616967366478, 0.0028109394908789323
49.01020301937138, 0.0028050445224744023, 0.0028083650351169863
49.040799340956916, 0.0027981664418212345, 0.0028014793766605174
49.09175083453431, 0.0027870138483720754, 0.002790313760390998
49.16299421312742, 0.0027716386269241392, 0.002774920267894256
49.25444142409901, 0.0027521127314770275, 0.002755371121259872
49.36598018878993, 0.002728527238094201, 0.002731757731132126
49.49747468305833, 0.0027009911646340445, 0.0027041895105752427
49.64876634922564, 0.002669630083493575, 0.0026727924811166923
49.8196748283246, 0.002634584557364999, 0.0026377077012155106
50.00999900019995, 0.002596008430853429, 0.0025990895502660443
50.21951811795888, 0.0025540670125907146, 0.0025571039030388015
50.44799302251776, 0.0025089351832013208, 0.0025119262301760373
50.695167422546305, 0.002460795464173153, 0.002463739660043545
50.96076922496363, 0.002409836081440796, 0.0024127330359754898
51.24451190127583, 0.0023562490554150887, 0.002359099000852744
51.54609587543949, 0.0023002283464295748, 0.002303032138168015
51.86520991955976, 0.0022419680812744403, 0.002244727195409171
52.20153254455275, 0.002181660882811251, 0.00218437741189764
52.55473337388365, 0.002119496320764183, 0.0021221729693115332
52.92447448959697, 0.0020556594978132724, 0.002058299579154222
53.31041174104736, 0.001990329781205482, 0.0019929372175348952
53.71219600798314, 0.0019236796863641502, 0.001926259013926423
54.12947441089743, 0.0018558739155096204, 0.001858430297156121
54.56189146281496, 0.0017870685511740824, 0.0017896077988446405
55.00909015790027, 0.0017174104017506685, 0.0017199390118967292
55.47071299343465, 0.0016470364938887933, 0.0016495616995088774
55.94640292279746, 0.0015760737046442823, 0.001578603548526306
56.43580423808985, 0.0015046385248079488, 0.0015071819598856339
56.938563381947034, 0.0014328369437508763, 0.0014354039683573201
57.4543296888929, 0.0013607644454097783, 0.0013633662839142764
57.982756057296896, 0.0012885061046553263, 0.0012911554479077536
58.52349955359813, 0.0012161367731996354, 0.0012188480990255723
59.07622195096772, 0.0011437213443633303, 0.0011465113470972227
59.64059020499378, 0.0010713150863946549, 0.0010742032578418283
60.21627686929839, 0.0009989640345710957, 0.0010019734598119498
60.802960454241045, 0.000926705432978405, 0.0009298638982785648
61.40032573203501, 0.0008545682176166552, 0.0008579097838746635
62.00806399170998, 0.0007825735332954308, 0.0007861408249217066
62.625873247404705, 0.0007107352776221211, 0.0007145829091094664
63.25345840347388, 0.0006390606662340201, 0.0006432605512207096
63.89053137985315, 0.0005675508142561268, 0.0005722007391033178
64.53681120105021, 0.0004962013297652662, 0.0005014395168517741
65.19202405202648, 0.0004250029157939248, 0.00043103436485273066
65.85590330410783, 0.00035394197810336206, 0.00036109007624035187
