x, y, Potential, Ex, Ey, Ez
 1, 1, 1.135154940571949e-06, -0.7071067757681383, -0.7071067757681383, 0.00012379650830456643
 1, 2, 2.2710892199468796e-06, -0.8943069916017128, -0.44745388622091103, 0.00015645477968183997
 1, 3, 3.408539985271513e-06, -0.94851444947111, -0.316733818332936, 0.0001657370071998902
 1, 4, 4.548288477220984e-06, -0.9699538400376284, -0.24328896310699372, 0.00016919392052841908
 1, 5, 5.690989353378145e-06, -0.9803836136819633, -0.1970988100044016, 0.00017064215129655155
 1, 6, 6.837384930940142e-06, -0.9861938471533712, -0.16559488678100087, 0.0001711981909786816
 1, 7, 7.988006551690789e-06, -0.9897494190074101, -0.14281476897261874, 0.00017128278330351345
 1, 8, 9.1435157774848e-06, -0.9920797455206432, -0.12560951103051918, 0.00017107416481585566
 1, 9, 1.0304278880063407e-05, -0.9936889653573523, -0.11217045510967637, 0.0001706678723001715
 1, 10, 1.14708335279285e-05, -0.9948469093792341, -0.10138835219718344, 0.0001701097461020055
 1, 11, 1.2643338062071916e-05, -0.995708385878614, -0.09254610517397426, 0.00016943474526556298
 1, 12, 1.3822161788333396e-05, -0.9963672652723222, -0.085160109488366, 0.00016865848076320496
 1, 13, 1.5007211298227752e-05, -0.9968831336442379, -0.07889226640735054, 0.00016779975035404287
 1, 14, 1.61986420914396e-05, -0.9972952551112042, -0.07349929447763887, 0.000166865117483559
 1, 15, 1.7396064817677668e-05, -0.9976303644879111, -0.06880136873281283, 0.0001658680473951261
 1, 16, 1.8599375601088808e-05, -0.9979071513733276, -0.06466289565892892, 0.0001648119323159847
 1, 17, 1.980784571073171e-05, -0.9981390141369052, -0.06097935435395185, 0.00016370822295514058
 1, 18, 2.1021067641027725e-05, -0.9983357380988731, -0.05766912179944583, 0.00016255909345894024
 1, 19, 2.2237932357741492e-05, -0.9985046194862687, -0.054667164025989506, 0.00016137514477920233
 1, 20, 2.3457687900262045e-05, -0.9986511658013206, -0.051921319253871105, 0.0001601580494179968
 1, 21, 2.4678808984369887e-05, -0.9987796113863999, -0.049388891705571474, 0.00015891798918611977
 1, 22, 2.590016462112402e-05, -0.9988932325427656, -0.04703493515169476, 0.00015765639959134978
 1, 23, 2.7119785467860132e-05, -0.9989946090784714, -0.04483019714935245, 0.00015638319097569482
 1, 24, 2.833613668522766e-05, -0.9990857726744898, -0.04275037758334004, 0.00015509964351505972
 1, 25, 2.9546788986775935e-05, -0.9991683521419427, -0.04077475222205267, 0.00015381542587809032
 1, 26, 3.074979265285991e-05, -0.9992436442882113, -0.03888593683718574, 0.00015253166586826796
 1, 27, 3.194225870248103e-05, -0.9993127015218726, -0.03706887775673774, 0.00015125776996458663
 1, 28, 3.3121829616424275e-05, -0.9993763648565357, -0.035310888798377155, 0.00014999468260310542
 1, 29, 3.4285177403505475e-05, -0.9994353207757674, -0.033600855031209596, 0.00014875150753463406
 1, 30, 3.542956611866244e-05, -0.9994901152451479, -0.03192941844829752, 0.00014752896167442864
 1, 31, 3.6551273780513305e-05, -0.9995411929982783, -0.030288315988386442, 0.00014633580001173705
 1, 32, 3.7647241170307805e-05, -0.999588902072529, -0.028670643145760268, 0.00014517246483984383
 1, 33, 3.8713424548287415e-05, -0.9996335223189714, -0.02707028456696513, 0.00014404731808662273
 1, 34, 3.974652446683584e-05, -0.9996752654786736, -0.025482212471527554, 0.00014296048247150548
 1, 35, 4.0742276018074496e-05, -0.9997142966130959, -0.02390198749327075, 0.000141919887834806
 1, 36, 4.169725049399744e-05, -0.9997507324361918, -0.022326063991636443, 0.00014092529694498973
 1, 37, 4.260708949544443e-05, -0.9997846577693156, -0.020751349197659502, 0.00013998417532544086
 1, 38, 4.346837126257786e-05, -0.9998161235905212, -0.019175496362723712, 0.00013909589092826462
 1, 39, 4.4276794442323254e-05, -0.9998451597656629, -0.017596515998819687, 0.00013826741988631614
 1, 40, 4.502909987300609e-05, -0.9998717735475314, -0.016013043348938247, 0.0001374977060572352
 1, 41, 4.5721209239483655e-05, -0.9998959593616124, -0.014423998749869557, 0.00013679321793859026
 1, 42, 4.63501921410921e-05, -0.9999176980376093, -0.012828819652579104, 0.0001361524511914557
 1, 43, 4.691236438747428e-05, -0.9999369641600445, -0.01122716901494339, 0.00013558135455142982
 1, 44, 4.740528944549455e-05, -0.9999537260248722, -0.009619124852114531, 0.0001350779559040167
 1, 45, 4.78258408803966e-05, -0.9999679509157974, -0.008004936680863984, 0.00013464767732973895
 1, 46, 4.817222689659874e-05, -0.9999796055917906, -0.006385167750573134, 0.0001342880631641375
 1, 47, 4.8442021524103654e-05, -0.9999886597760353, -0.004760500210589157, 0.00013400400626610836
 1, 48, 4.863420103444599e-05, -0.999995086867662, -0.0031318269570957424, 0.00013379255479102335
 1, 49, 4.87471489740553e-05, -0.9999988659073419, -0.0015001065126739506, 0.00013365807332433902
 1, 50, 4.878069377711256e-05, -0.9999999821518137, 0.0001335971038496837, 0.000133597103849545
 1, 51, 4.873409364073389e-05, -0.999998427791352, 0.0017682087717422513, 0.0001336134865028163
 1, 52, 4.860806561351014e-05, -0.9999942020150705, 0.003402654799338811, 0.00013370324945550968
 1, 53, 4.840275749139949e-05, -0.9999873107850624, 0.005035905852800415, 0.00013386971468475683
 1, 54, 4.8119759895738474e-05, -0.9999777660393858, 0.006667041459193108, 0.00013410839122515817
 1, 55, 4.776007367294348e-05, -0.9999655848588589, 0.00829524132148695, 0.00013442209150387778
 1, 56, 4.732609779566801e-05, -0.9999507874864059, 0.009919900841866969, 0.00013480580263935352
 1, 57, 4.681960196881009e-05, -0.9999333962377323, 0.011540571593706932, 0.00013526183855254394
 1, 58, 4.6243684387188927e-05, -0.9999134320424763, 0.013157126721324913, 0.0001357846646934945
 1, 59, 4.560076019186765e-05, -0.9998909134320729, 0.014769652586691991, 0.00013637611031888576
 1, 60, 4.489448402651787e-05, -0.9998658513119706, 0.016378663038648714, 0.00013703012318764965
 1, 61, 4.412776551321452e-05, -0.9998382482926547, 0.017984945831066655, 0.00013774806509418862
 1, 62, 4.330465206696594e-05, -0.9998080913647825, 0.01958982523621503, 0.00013852337467029803
 1, 63, 4.242838261138415e-05, -0.9997753517056092, 0.021194968779430102, 0.0001393569675055025
 1, 64, 4.1503226221525926e-05, -0.9997399748284758, 0.02280269857275479, 0.0001402417871704432
 1, 65, 4.053258490426732e-05, -0.9997018807736097, 0.02441576634854744, 0.0001411783290813695
 1, 66, 3.952078340641247e-05, -0.9996609511065485, 0.02603771540576573, 0.00014215906216656402
 1, 67, 3.847123113661995e-05, -0.9996170290482815, 0.027672635129360437, 0.0001431840930701543
 1, 68, 3.738815801445371e-05, -0.9995699023425128, 0.029325577986315257, 0.00014424544345581283
 1, 69, 3.6274844641951025e-05, -0.9995193023130213, 0.031002309254982586, 0.00014534286823284398
 1, 70, 3.513529851606918e-05, -0.9994648809854839, 0.032709787889930036, 0.00014646797624823704
 1, 71, 3.3972560504812613e-05, -0.9994062071099052, 0.03445593415459419, 0.0001476202129908436
 1, 72, 3.279031522678251e-05, -0.9993427347600576, 0.036250190945459934, 0.00014879081525193008
 1, 73, 3.1591280864233614e-05, -0.9992737926694433, 0.03810334355849465, 0.00014997896522599138
 1, 74, 3.0378747125062774e-05, -0.9991985393156476, 0.04002819225773827, 0.00015117557247302626
 1, 75, 2.9155054512058978e-05, -0.999115938720024, 0.04203947877961887, 0.00015237960241496742
 1, 76, 2.7923053081094286e-05, -0.9990246926045088, 0.044154727709883296, 0.0001535816813551283
 1, 77, 2.6684676521325414e-05, -0.9989231893633477, 0.046394372451020606, 0.00015478059785134068
